angle,correction,derived,rotát-ion,x_pos,y_pos,p,i,d,bat,time
4.888341816, -81.73467734979569, 0.1632568701450104, 9.272130980011388, -0.2767498420422007, 9.667427358475901, -52.60546996813666, -29.142098916030623, 0.012891534371590296, 7.772625000000001, 0.47029948234558105
5.585468553999999, -81.49076354384395, 0.17232907041177145, 9.777692846596702, -0.35973892576670896, 10.189550051568592, -50.30669151116044, -30.60937741843947, -0.5746946142440574, 7.7295, 0.48629093170166016
6.331805549999999, -80.4314437983768, 0.18200612874960437, 10.315270095684193, -0.40455988205710053, 10.743865641367746, -47.80157454821033, -32.00359000942894, -0.6262792407375253, 7.766625, 0.5023200511932373
6.983785507999999, -80.08028633337126, 0.1916206450085364, 10.847561196437404, -0.5036701766820891, 11.291798763815653, -46.36530826124886, -33.35591150038203, -0.3590665717403674, 7.779, 0.5182468891143799
7.747949309999998, -79.01692562406394, 0.20148582244057298, 11.391766107686596, -0.5467488515783129, 11.850987900498144, -43.72580157223918, -34.631247379572336, -0.6598766722524223, 7.744125, 0.5343201160430908
8.461914770999996, -78.26521873460285, 0.21181807134781952, 11.9595105958097, -0.6572949052390825, 12.433224483343858, -41.971149897716444, -35.855405918255734, -0.4386629186306825, 7.756125, 0.5502090454101562
9.158390472999995, -77.97941102701441, 0.22245301750363763, 12.541408401805295, -0.7854159916609404, 13.028708347151827, -40.5962151456636, -37.03946219333759, -0.34373368801321114, 7.759875, 0.5662276744842529
9.998268096999997, -76.60954686380141, 0.23353357460538804, 13.144902416149508, -0.9098614884287674, 13.644872271388275, -37.75961182979413, -38.14078420503992, -0.7091508289673669, 7.76325, 0.5823614597320557
10.688304511999998, -76.37202505667074, 0.24502389041236178, 13.767591987313612, -1.0248986719283193, 14.279047208544206, -36.95144970376336, -39.21853482139968, -0.2020405315076932, 7.759125, 0.598330020904541
11.554870741999999, -75.03169281165664, 0.2567033091498818, 14.397148342461616, -1.1550681444344522, 14.91850078114147, -34.10733120553941, -40.21333198156125, -0.7110296245559873, 7.76175, 0.6142055988311768
12.373504361999995, -73.41804183385902, 0.2681895745639081, 15.012849501135067, -1.320188308681467, 15.542139780741614, -31.672141669620864, -41.13710278025852, -0.6087973839796366, 7.7595, 0.6301963329315186
13.072834773999993, -73.41896310393084, 0.28068419361648034, 15.678591448467063, -1.488103156481834, 16.214443056043827, -31.269080093604842, -42.049117616322, -0.10076539400400542, 7.7655, 0.6462326049804688
14.060841916999996, -71.10043826633233, 0.2930242368756766, 16.331863374391347, -1.664659645323439, 16.872025990426078, -27.25225748869621, -42.84397512640897, -1.0042056512271582, 7.77975, 0.6623120307922363
15.042939638999995, -68.0258608277195, 0.30587419366304663, 17.007519460298013, -1.8587142479030578, 17.549832420608947, -23.574957855576223, -43.53157806386328, -0.9193249082799966, 7.776, 0.6783633232116699
15.859594950999995, -66.45153122185882, 0.3187672923788287, 17.68058037282903, -2.070161399148304, 18.222609107033335, -21.851825061948432, -44.16892296150344, -0.4307831984069477, 7.776, 0.6943192481994629
16.841801862999993, -63.98483515043832, 0.3322075597527074, 18.37687736283398, -2.2962366007759227, 18.91596462088093, -18.42090599800784, -44.706199386445334, -0.8577297659851482, 7.7718750000000005, 0.710336446762085
17.841024593999993, -58.85279609591541, 0.34162582320958296, 18.86149199613562, -2.3934717998526605, 19.396889352151938, -12.245608825627514, -45.06336297719281, -1.5438242930950814, 7.781625, 0.7262318134307861
17.841024593999993, -59.694358272833156, 0.34585918413993044, 19.07841422921213, -2.540666040431141, 19.611712385626927, -14.848675622545628, -45.49644934951706, 0.6507666992295285, 7.781625, 0.7270348072052002
18.761894995999995, -59.28544063672358, 0.36080367399514507, 19.839630010071666, -2.7952625244403886, 20.36331732477439, -12.932820168860047, -45.87365660444214, -0.4789638634213951, 7.773375000000001, 0.7422957420349121
19.804443409999994, -56.64782284568278, 0.3760936845018803, 20.610963324334286, -3.0803118486491385, 21.12124519864904, -9.6782389720115, -46.15593857445914, -0.813645299212137, 7.7655, 0.7584097385406494
20.676911306999997, -55.386675212799446, 0.39200402693235215, 21.405379424148386, -3.3726548771223968, 21.897851898948684, -8.741617405780659, -46.41090241546108, -0.23415539155771015, 7.765875, 0.7742793560028076
